hw,ps,df,il,gc,crm,sc,sf,id,df.,lw
-a,nm,*his; *her; *its,losung anaka | *mortar (child of a pestle) ; bayaka sarunga | sheath of a machete,*third~singular genitive marker,,,,,,
-a,art,*the; the *one focused on,De mana kapota? | From where (is) the arrival? ; alusa | the small one,,-na ; -ina,,,,,
a:,part,*so ; *then,A: sakarang aku tungkangi kau | So now I will explain to you,,,,,,,
aba,n,*father,,,,a term used in some families,,,,
abang,,,,,porut abanga,,,,,
abok,n,k.o. steamed triangular *cake of cassava,,,,,food,,,
acar,,,,,dabu-dabu acar,,,,,
ada,vi,to *exist,de belabelang de itu ada lapangan anu ap terbang | At Belang-Belang over there; there ; cece dua pulu belek basisa ke ada | Never mind twenty conatainers; there would even be,,,,,,,
ada,v,to *possess,Masa walanda kami ada pakeang | In the Dutch era we had clothes.,,,,,,,
ada,part,in the process; *currently,aku ini ada baumang-baumang kintal mitu | I have been in the process of looking and ; de toko ada mujual itu | In stores they currently sell them.,a verbal marker indicating continuity or iterarity,,,,,,
ada harus,adv,*unsurprisingly; no wonder; *logically,ada harus si abu bakar ilia lau itu | No wonder Abu Bakar saw it there.,,,,,,,
ada kalanya,part,*sometimes,,,,,,,,
adaing$1,part,*later,Adaing kuumbuk de Matius | Later on; I'll ask Matius for it.,as a syntactic marker; *future~marker,,,,,,
adaing$2,v,to await s.o.,Cece balampo adaing aku | Don't go; wait for me.,,adang,,,,,
adang,v,to *wait for s.o.; to *await s.o.,torus kami barikang tala pake adangi mo | Then we went fishing; we had no use for,,,,,,,
adang,v,to *wait for s.o. at s.o.'s request or on s.o.'s behalf,,,,,,,,
adang,vi,to wait (of several people); to wait a very long time,po musi kam ba:baada:ng nang motor itu | That's why all of you must wait for that,,,,,,,
adang,v,to wait for s.o. a long time,,,,,,,,
adapang,v,to *face s.o.,,,,,,,,
adapang,vi,to be *face~to~face,,,,,,,,
adat,n,*customs; *traditions ; *manners,,,,,society,,,
ade:,excl,*ooh; a cry of pain,,,,,,,,
ade: de: de:,excl,*ooh; a groan when experiencing persistent pain,,,,,,,,
adi,n,younger *sibling ; *step-sister; *step-brother,adingku bini-bini| my sister ; musi barunding puang nang inaku nang inaku kakana nang adina mena | Then we must confer with my mother and with my mother's older and younger siblings first.,,,,,adi tiri,,
