,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
h,a,a:,part,*so ; *then,A: sakarang aku tungkangi kau | So now I will explain to you,,,,,,,,,
a,-,-a,nm,*his; *her; *its,losung anaka | *mortar (child of a pestle) ; bayaka sarunga | sheath of a machete,*third~singular genitive marker,,,,,,,,
-,-,-a,art,*the; the *one focused on,De mana kapota? | From where (is) the arrival? ; alusa | the small one,,-na ; -ina,,,,,,,
A,a,aba,n,*father,,,,a term used in some families,,,,,,
b,a,abang,,,,,porut abanga,,,,,,,
c,a,abok,n,k.o. steamed triangular *cake of cassava,,,,,food,,,,,
d,a,acar,,,,,dabu-dabu acar,,,,,,,
e,a,ada,vi,to *exist,de belabelang de itu ada lapangan anu ap terbang | At Belang-Belang over there; there ; cece dua pulu belek basisa ke ada | Never mind twenty conatainers; there would even be,,,,,,,,,
f,a,ada,v,to *possess,Masa walanda kami ada pakeang | In the Dutch era we had clothes.,,,,,,,,,
g,a,ada,part,in the process; *currently,aku ini ada baumang-baumang kintal mitu | I have been in the process of looking and ; de toko ada mujual itu | In stores they currently sell them.,a verbal marker indicating continuity or iterarity,,,,,,,,
i,a,ada harus,adv,*unsurprisingly; no wonder; *logically,ada harus si abu bakar ilia lau itu | No wonder Abu Bakar saw it there.,,,,,,,,,
j,a,ada kalanya,part,*sometimes,,,,,,,,,,
k,a,adaing$1,part,*later,Adaing kuumbuk de Matius | Later on; I'll ask Matius for it.,as a syntactic marker; *future~marker,,,,,,,,
l,a,adaing$2,v,to await s.o.,Cece balampo adaing aku | Don't go; wait for me.,,adang,,,,,,,
m,a,adang,,,,,,,,adangi,,,,
M,a,adang,v,to *wait for s.o.; to *await s.o.,torus kami barikang tala pake adangi mo | Then we went fishing; we had no use for,,,,,adangi akang,,,,
n,a,adang,v,to *wait for s.o. at s.o.'s request or on s.o.'s behalf,,,,,,ba:baada:ng,,,,
o,a,adang,vi,to wait (of several people); to wait a very long time,po musi kam ba:baada:ng nang motor itu | That's why all of you must wait for that,,,,,paadang,,,,
p,a,adang,v,to wait for s.o. a long time,,,,,,,,,,
r,a,adapang,,,,,,,,adapangi,,,,
s,a,adapang,v,to *face s.o.,,,,,,baadapangang,,,,
t,a,adapang,vi,to be *face~to~face,,,,,,,,,,
u,a,adat,n,*customs; *traditions ; *manners,,,,,society,,,,,
y,a,ade:,excl,*ooh; a cry of pain,,,,,,,,,,
w,a,ade: de: de:,excl,*ooh; a groan when experiencing persistent pain,,,,,,,,,,
,a,adi,n,younger *sibling ; *step-sister; *step-brother,adingku bini-bini| my sister ; musi barunding puang nang inaku nang inaku kakana nang adina mena | Then we must confer with my mother and with my mother's older and younger siblings first.,,,,,,adi tiri,,,
,a,ado:,excl,*ouch; a cry of sudden pain,,,,,,,,,,
,a,ado,,,,,molo molo ado,,,,,,,
,a,ado: do: do:,excl,*ow; a wail when being beaten,,,,,,,,,,
,a,adrs,n,*address,,,,,,,,,,
,a,adu,n,k.o. intestinal *disease characterized by hardness or *swelling in the upper abdomen,,,,,health,,,,,
,a,aduping,n,*flood,,,,,,,,,,
,a,agama,n,*religion,,,,,spiritual,,,,,
,a,agas,n,*gnat; fam. *Ceratopogonidae,,,,,insect,,,,,
,a,ahal,n,*family~member; distant *relative,,,,,,saahal,,,,
,a,ahal,n,one family; a family relationship,,,,,kinship,,,,,
,a,ahert,n,the eternal world; the place of *life~after~death <*eternity>,,,bobato ahera/t ; dunia/,,,,,,,
