0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
no,headword,PoS,definition,example,translation,example,translation,example,translation,example,translation,example,translation,example,translation,scientific name,gram category,social context,semantic field,loanword,crm,af,id
1,a:,particle,"so, then",A: sakarang aku tungkangi kau,So now I will explain to you,,,,,,,,,,,,,,,,,,
2,-a,pronoun,"his, her, its",losung anaka,mortar (child of a pestle),bayaka sarunga,sheath of a machete,,,,,,,,,,third singular genitive marker,,,,,,
3,-a,article,"the, the one focused on",De mana kapota?,From where (is) the arrival?,alusa,the small one,,,,,,,,,,,,,,"-na, -ina",,
4,aba,noun,"father, a term used in some families",,,,,,,,,,,,,,,,,,,,
5,abang,,,,,,,,,,,,,,,,,,,,porut abanga,,
6,abok,noun,kind of steamed triangular cake of cassava,,,,,,,,,,,,,,,,food,,,,
7,acar,,,,,,,,,,,,,,,,,,,,dabu-dabu acar,,
8,ada,intransitive verb,to exist,de belabelang de itu ada lapangan anu apé terbang,"At Belang-Belang over there, there",cece dua pulu belek basisa ke ada,"Never mind twenty conatainers, there would even be",,,,,,,,,,,,,,,,
9,ada,verb,to possess,Masa walanda kami ada pakeang,In the Dutch era we had clothes.,,,,,,,,,,,,,,,,,,
10,ada,particle,"in the process, currently",aku ini ada baumang-baumang kintal mitu,I have been in the process of looking and,de toko ada mujual itu,In stores they currently sell them.,,,,,,,,,,a verbal marker indicating continuity or iterarity,,,,,,
11,ada harus,adverb,"unsurprisingly, no wonder, logically",ada harus si abu bakar ilia lau itu,No wonder Abu Bakar saw it there.,,,,,,,,,,,,,,,,,,
12,ada kalanya,particle,sometimes,,,,,,,,,,,,,,,,,,,,
13,adaing,particle,later,Adaing kuumbuk de Matius,"Later on, I'll ask Matius for it.",,,,,,,,,,,,"as a syntactic marker, future marker",,,,,,
14,adaing,verb,to await someone,Cece balampo adaing aku,Don't go,wait for me.,,,,,,,,,,,,,,,adang,,
15,adang,,,,,,,,,,,,,,,,,,,,,adangi,
16,adang,verb,"to wait for someone, to await someone",torus kami barikang tala pake adangi mo,Then we went fishing,we had no use for,,,,,,,,,,,,,,,,adangi akang,
17,adang,verb,to wait for someone at someone's request or on someone's behalf,,,,,,,,,,,,,,,,,,,ba:baada:ng,
18,adang,intransitive verb,"to wait (of several people), to wait a very long time",po musi kamú ba:baada:ng nang motor itu,That's why all of you must wait for that,,,,,,,,,,,,,,,,,paadang,
19,adang,verb,to wait for someone a long time,,,,,,,,,,,,,,,,,,,,
20,adapang,,,,,,,,,,,,,,,,,,,,,adapangi,
21,adapang,verb,to face someone,,,,,,,,,,,,,,,,,,,baadapangang,
22,adapang,intransitive verb,to be face to face,,,,,,,,,,,,,,,,,,,,
23,adat,noun,"customs, traditions, manners",,,,,,,,,,,,,,,,society,,,,
24,ade:,exclamation,"ooh, a cry of pain",,,,,,,,,,,,,,,,,,,,
25,ade: de: de:,exclamation,"ooh, a groan when experiencing persistent pain",,,,,,,,,,,,,,,,,,,,
26,adi,noun,younger sibling,adingku bini-bini,my sister,musi barunding puang nang inaku nang inaku kakana nang adina mena,Then we must confer with my mother and with my mother's older and younger siblings first.,,,,,,,,,,,,,,,,"adi tiri \df step-sister, step-brother"
27,ado:,exclamation,"ouch, a cry of sudden pain",,,,,,,,,,,,,,,,,,,,
28,ado,,,,,,,,,,,,,,,,,,,,molo molo ado,,
29,ado: do: do:,exclamation,"ow, a wail when being beaten",,,,,,,,,,,,,,,,,,,,
30,adrés,noun,address,,,,,,,,,,,,,,,,,,,,
31,adu,noun,kind of intestinal disease characterized by hardness or swelling in the upper abdomen,,,,,,,,,,,,,,,,health,,,,
32,aduping,noun,flood,,,,,,,,,,,,,,,,,,,,
33,agama,noun,religion,,,,,,,,,,,,,,,,spiritual,,,,
34,agas,noun,gnat,,,,,,,,,,,,,Ceratopogonidae,,,insect,,,,
35,ahalí,noun,"family member, distant relative",,,,,,,,,,,,,,,,,,,saahalí,
36,ahalí,noun,"one family, a family relationship",,,,,,,,,,,,,,,,kinship,,,,
37,aherát,noun,"the eternal world, the place of life after death <eternity>",,,,,,,,,,,,,,,,,,"bobato ahera/t, dunia/",,
38,ahir,noun,conclusion,,,,,,,,,,,,,,,,,,,,
39,ahirnya,conjunction,finally,,,,,,,,,,,,,,,,,Indonesian,,,
40,ahát,noun,Sunday,,,,,,,,,,,,,,,,,,,,
41,ai,exclamation,"hey, exclamation of surprise or admonition",ai kamú ke inga-ingat bahasanta tu i:,"Hey, all of you should always be mindful of that",,,,,,,,,,,,,,,,,,
42,air goraka,noun,a beverage of ginger and palm sugar,,,,,,,,,,,,,,,,,Malay,,,
43,ajar,verb,"to teach someone or s.t., to scold someone",nyawaku mantak po kuajar si Umar,I was really offended so I told Umar off,,,,,,,,,,,,,,,,,ajari,
44,ajar,verb,to teach someone,,,,,,,,,,,,,,,,,,,ajari:,
45,ajar,intransitive verb,to scold someone intensively,,,,,,,,,,,,,,,,,,,ajar akang,
46,ajar,verb,to teach s.t. at someone's request,,,,,,,,,,,,,,,,,,,ba:jajarang,
47,ajar,intransitive verb,to  argue with and scold someone,,,,,,,,,,,,,,,,,,,palajari,
48,ajar,verb,"to teach intensively with training and demonstration, to instruct <demonstrate>",Bapaku mupalajari andeket tu basilap,My father instructs that youngster in martial arts,,,,,,,,,,,,,,,,,,
49,ajarang,noun,"horse,",,,,,,,,,,,,,Equus caballus,,,animal,,,,
50,ajeri,verb,"to rip open a fish gill, to kill freshly taken fish",,,,,,,,,,,,,,,,fishing,,,,
51,ajeri:,verb,"to berate someone, to excoriate someone",,,,,,,,,,,,,,,,,Malay,jejer,,
52,ajimat,noun,"charm, a token carried to protect the bearer",,,,,,,,,,,,,,,,,,,,
53,akal,noun,"mind, intelligence, cunning, mental solution, resolution (of a problem)",akal barisi,many ways to solve (a problem),,,,,,,,,,,,,,,,,,
54,akan,,,,,,,,,,,,,,,,,,,,akang,,
55,akang,,,,,,,,,,,,,,,,,,,Indonesian,,,
56,akang,particle,"will, shall, about to",a itu akang tida bisa,"So, that will be impossible.",adaing kapala perkebunan akang mubei mangarti,Later the agriculture officer will,,,,,,,,,,future marker,,,Indonesian,,,
57,adaing,preposition,"regarding, with respect to",kau mucamuni akang de ruma habua puang,You should have hidden it in a house for,,,,,,,,,,,,"a postverbal particle marking causation, benefaction or instrumentality",,,,,,
58,akang,conjunction,"however, nonetheless",a kita balapetak yogo ka da: bakaya akang kani: lapetak ni lambat,"So we garden and go inland to collect sago pith, nonetheless it is certain the garden will be late (for harvesting)",,,,,,,,,,,,,,,,,,
59,akar,noun,root,,,,,,,,,,,,,,,,,,,,"akar kuning \ps  n \df carrot, \sn Daucus carota \sf  food"
60,aku,pronoun,"I, me",aku yogo kutanyai kau habua hadiki,"I want to ask you about something, please.",haiku ini mubei aku doit tolu ratus ka mai,This guy gave me three hundred rupiah,,,,,,,,,,"first person singular, emphatic",informal,,,"iku,, ngku,, ku,, ku-, dangang",,
61,aku,,,,,,,,,,,,,,,,,,,,,akui,
62,aku,verb,to admit s.t.,kuakui laki-laki tu memang jagona,I admit that man surely has prowess,,,,,,,,,,,,,,,,mangaku,,
63,akí,noun,"storage battery, car battery",,,,,,,,,,,,,,,,,,batre/,,
