no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1,a:,particle,"so, then",A: sakarang aku tungkangi kau,So now I will explain to you,,,,,,,,,,,,,,,,,,,,FALSE
2,-a₁,pronoun,"his, her, its",losung anaka,mortar (child of a pestle),bayaka sarunga,sheath of a machete,,,,,,,,,,third singular genitive marker,,,,,,,,FALSE
3,-a₂,article,"the, the one focused on",De mana kapota?,From where (is) the arrival?,alusa,the small one,,,,,,,,,,,,,,"-na, -ina",,,,FALSE
4,aba,noun,"father, a term used in some families",,,,,,,,,,,,,,,,,,,,,,FALSE
5,abang,,,,,,,,,,,,,,,,,,,,porut abanga,,,,FALSE
6,abok,noun,kind of steamed triangular cake of cassava,,,,,,,,,,,,,,,,food,,,,,,FALSE
7,acar,,,,,,,,,,,,,,,,,,,,dabu-dabu acar,,,,FALSE
8,ada₁,intransitive verb,to exist,de belabelang de itu ada lapangan anu apé terbang,"At Belang-Belang over there, there",cece dua pulu belek basisa ke ada,"Never mind twenty conatainers, there would even be",,,,,,,,,,,,,,,,,,FALSE
9,ada₂,verb,to possess,Masa walanda kami ada pakeang,In the Dutch era we had clothes.,,,,,,,,,,,,,,,,,,,,FALSE
10,ada₃,particle,"in the process, currently",aku ini ada baumang-baumang kintal mitu,I have been in the process of looking and,de toko ada mujual itu,In stores they currently sell them.,,,,,,,,,,a verbal marker indicating continuity or iterarity,,,,,,,,FALSE
11,ada harus,adverb,"unsurprisingly, no wonder, logically",ada harus si abu bakar ilia lau itu,No wonder Abu Bakar saw it there.,,,,,,,,,,,,,,,,,,,,FALSE
12,ada kalanya,particle,sometimes,,,,,,,,,,,,,,,,,,,,,,FALSE
13,adaing₁,particle,later,Adaing kuumbuk de Matius,"Later on, I'll ask Matius for it.",,,,,,,,,,,,"as a syntactic marker, future marker",,,,,,,,FALSE
